mix_path,first_speaker_path,second_speaker_path,duration
train\241145504ae54e6cbb70ed3deece99d1\mix_audio.wav,train\241145504ae54e6cbb70ed3deece99d1\first_speaker.wav,train\241145504ae54e6cbb70ed3deece99d1\second_speaker.wav,18.0
train\565a088c8a154f33afbd8261f53ecd4a\mix_audio.wav,train\565a088c8a154f33afbd8261f53ecd4a\first_speaker.wav,train\565a088c8a154f33afbd8261f53ecd4a\second_speaker.wav,19.0
train\1c5f6e361d1c43fd9bb833e562f7cc6e\mix_audio.wav,train\1c5f6e361d1c43fd9bb833e562f7cc6e\first_speaker.wav,train\1c5f6e361d1c43fd9bb833e562f7cc6e\second_speaker.wav,18.0
train\8741239eb8104192b51b5b8245ae5b47\mix_audio.wav,train\8741239eb8104192b51b5b8245ae5b47\first_speaker.wav,train\8741239eb8104192b51b5b8245ae5b47\second_speaker.wav,19.0
train\26f98dc496d84794ae9649c60cdad63c\mix_audio.wav,train\26f98dc496d84794ae9649c60cdad63c\first_speaker.wav,train\26f98dc496d84794ae9649c60cdad63c\second_speaker.wav,16.0
train\85beb861d854418dae4b3334f55e1336\mix_audio.wav,train\85beb861d854418dae4b3334f55e1336\first_speaker.wav,train\85beb861d854418dae4b3334f55e1336\second_speaker.wav,15.0
train\e59ad77cd6dc4941b24886051b538419\mix_audio.wav,train\e59ad77cd6dc4941b24886051b538419\first_speaker.wav,train\e59ad77cd6dc4941b24886051b538419\second_speaker.wav,17.0
train\7b382f0d7e6248f5b645e8c404bd16e2\mix_audio.wav,train\7b382f0d7e6248f5b645e8c404bd16e2\first_speaker.wav,train\7b382f0d7e6248f5b645e8c404bd16e2\second_speaker.wav,18.0
train\7a69bfa826a142198254e75be7c7a251\mix_audio.wav,train\7a69bfa826a142198254e75be7c7a251\first_speaker.wav,train\7a69bfa826a142198254e75be7c7a251\second_speaker.wav,17.0
train\8ef36c9b556942c9be6ba9d8ed0aaf45\mix_audio.wav,train\8ef36c9b556942c9be6ba9d8ed0aaf45\first_speaker.wav,train\8ef36c9b556942c9be6ba9d8ed0aaf45\second_speaker.wav,16.0
train\03197a3b6412482d89f7e9d55e3ebd87\mix_audio.wav,train\03197a3b6412482d89f7e9d55e3ebd87\first_speaker.wav,train\03197a3b6412482d89f7e9d55e3ebd87\second_speaker.wav,16.0
train\f673822916584674b29bb0acfdf60ce4\mix_audio.wav,train\f673822916584674b29bb0acfdf60ce4\first_speaker.wav,train\f673822916584674b29bb0acfdf60ce4\second_speaker.wav,19.0
train\7515623253b54de6ad65b782af693925\mix_audio.wav,train\7515623253b54de6ad65b782af693925\first_speaker.wav,train\7515623253b54de6ad65b782af693925\second_speaker.wav,20.0
train\9b733c19202247d5930918faa67c9632\mix_audio.wav,train\9b733c19202247d5930918faa67c9632\first_speaker.wav,train\9b733c19202247d5930918faa67c9632\second_speaker.wav,20.0
train\da0ad0f28fb64a4fbeddf43d8c2468c8\mix_audio.wav,train\da0ad0f28fb64a4fbeddf43d8c2468c8\first_speaker.wav,train\da0ad0f28fb64a4fbeddf43d8c2468c8\second_speaker.wav,15.0
train\21b4fd74b6de4f45affcff3bcea0886f\mix_audio.wav,train\21b4fd74b6de4f45affcff3bcea0886f\first_speaker.wav,train\21b4fd74b6de4f45affcff3bcea0886f\second_speaker.wav,15.0
train\522cf34b46614fb1910f1e04283c558b\mix_audio.wav,train\522cf34b46614fb1910f1e04283c558b\first_speaker.wav,train\522cf34b46614fb1910f1e04283c558b\second_speaker.wav,18.0
train\7450bd703a104d09854afa1d57610810\mix_audio.wav,train\7450bd703a104d09854afa1d57610810\first_speaker.wav,train\7450bd703a104d09854afa1d57610810\second_speaker.wav,17.0
train\1ec90500f94c4e80b1d967ab9c53c49e\mix_audio.wav,train\1ec90500f94c4e80b1d967ab9c53c49e\first_speaker.wav,train\1ec90500f94c4e80b1d967ab9c53c49e\second_speaker.wav,15.0
train\e59d332e0e9644f2b85052eb3f8dce00\mix_audio.wav,train\e59d332e0e9644f2b85052eb3f8dce00\first_speaker.wav,train\e59d332e0e9644f2b85052eb3f8dce00\second_speaker.wav,15.0
train\cae6b270fe6e4ef9b4747d28f67ee724\mix_audio.wav,train\cae6b270fe6e4ef9b4747d28f67ee724\first_speaker.wav,train\cae6b270fe6e4ef9b4747d28f67ee724\second_speaker.wav,19.0
train\de266ff47c774ec1a77967451ca5c6e4\mix_audio.wav,train\de266ff47c774ec1a77967451ca5c6e4\first_speaker.wav,train\de266ff47c774ec1a77967451ca5c6e4\second_speaker.wav,17.0
train\423c300e93d844cda654388ad5ed770e\mix_audio.wav,train\423c300e93d844cda654388ad5ed770e\first_speaker.wav,train\423c300e93d844cda654388ad5ed770e\second_speaker.wav,20.0
train\d0ad547dbf5e4c73bd5730acece44950\mix_audio.wav,train\d0ad547dbf5e4c73bd5730acece44950\first_speaker.wav,train\d0ad547dbf5e4c73bd5730acece44950\second_speaker.wav,18.0
train\ace72b009f14480f91f3c82097d2eec6\mix_audio.wav,train\ace72b009f14480f91f3c82097d2eec6\first_speaker.wav,train\ace72b009f14480f91f3c82097d2eec6\second_speaker.wav,19.0
train\673606f2f4564a2d8a36c98bc1ab107a\mix_audio.wav,train\673606f2f4564a2d8a36c98bc1ab107a\first_speaker.wav,train\673606f2f4564a2d8a36c98bc1ab107a\second_speaker.wav,20.0
train\51b37b31ff0743c09cc7d81c3b123008\mix_audio.wav,train\51b37b31ff0743c09cc7d81c3b123008\first_speaker.wav,train\51b37b31ff0743c09cc7d81c3b123008\second_speaker.wav,19.0
train\6174e13a4e4d4d8ba13aac11bf553e2e\mix_audio.wav,train\6174e13a4e4d4d8ba13aac11bf553e2e\first_speaker.wav,train\6174e13a4e4d4d8ba13aac11bf553e2e\second_speaker.wav,15.0
train\708376b78a314b43926cce1b68d36a1d\mix_audio.wav,train\708376b78a314b43926cce1b68d36a1d\first_speaker.wav,train\708376b78a314b43926cce1b68d36a1d\second_speaker.wav,19.0
train\833ba4bfea55440d911e69f29aed4547\mix_audio.wav,train\833ba4bfea55440d911e69f29aed4547\first_speaker.wav,train\833ba4bfea55440d911e69f29aed4547\second_speaker.wav,19.0
train\7e775e9e86034664924e814586cea331\mix_audio.wav,train\7e775e9e86034664924e814586cea331\first_speaker.wav,train\7e775e9e86034664924e814586cea331\second_speaker.wav,15.0
train\066240eff0b04c62b27204a436e916f9\mix_audio.wav,train\066240eff0b04c62b27204a436e916f9\first_speaker.wav,train\066240eff0b04c62b27204a436e916f9\second_speaker.wav,16.0
train\a38f487296ce4d8cbcf4c450390c77df\mix_audio.wav,train\a38f487296ce4d8cbcf4c450390c77df\first_speaker.wav,train\a38f487296ce4d8cbcf4c450390c77df\second_speaker.wav,15.0
train\f04d9bb70ef04b4f92bc2dbb5c021e94\mix_audio.wav,train\f04d9bb70ef04b4f92bc2dbb5c021e94\first_speaker.wav,train\f04d9bb70ef04b4f92bc2dbb5c021e94\second_speaker.wav,17.0
train\9730125d1ec34f3f98179968e2e661bc\mix_audio.wav,train\9730125d1ec34f3f98179968e2e661bc\first_speaker.wav,train\9730125d1ec34f3f98179968e2e661bc\second_speaker.wav,20.0
train\155fabd606f54747a3512fa211f3ab19\mix_audio.wav,train\155fabd606f54747a3512fa211f3ab19\first_speaker.wav,train\155fabd606f54747a3512fa211f3ab19\second_speaker.wav,18.0
train\0a6ea15cb3f54634b0f2f2712d9a200f\mix_audio.wav,train\0a6ea15cb3f54634b0f2f2712d9a200f\first_speaker.wav,train\0a6ea15cb3f54634b0f2f2712d9a200f\second_speaker.wav,16.0
train\4c9b234f02fb475384129e8142aef966\mix_audio.wav,train\4c9b234f02fb475384129e8142aef966\first_speaker.wav,train\4c9b234f02fb475384129e8142aef966\second_speaker.wav,19.0
train\adbbfaab710442e08c13b60077f51e88\mix_audio.wav,train\adbbfaab710442e08c13b60077f51e88\first_speaker.wav,train\adbbfaab710442e08c13b60077f51e88\second_speaker.wav,17.0
train\e21b47be26f94d7caee8b548a9e2ce7c\mix_audio.wav,train\e21b47be26f94d7caee8b548a9e2ce7c\first_speaker.wav,train\e21b47be26f94d7caee8b548a9e2ce7c\second_speaker.wav,18.0
train\5e6a89c1c28640eca15f2cbca301d0a6\mix_audio.wav,train\5e6a89c1c28640eca15f2cbca301d0a6\first_speaker.wav,train\5e6a89c1c28640eca15f2cbca301d0a6\second_speaker.wav,15.0
train\a36127eb2430481591a05b2d65d0fe1b\mix_audio.wav,train\a36127eb2430481591a05b2d65d0fe1b\first_speaker.wav,train\a36127eb2430481591a05b2d65d0fe1b\second_speaker.wav,20.0
train\46bb638148af48cdb55a38f295212421\mix_audio.wav,train\46bb638148af48cdb55a38f295212421\first_speaker.wav,train\46bb638148af48cdb55a38f295212421\second_speaker.wav,16.0
train\4693f5f9ca70442296262d212dc3d9d3\mix_audio.wav,train\4693f5f9ca70442296262d212dc3d9d3\first_speaker.wav,train\4693f5f9ca70442296262d212dc3d9d3\second_speaker.wav,15.0
train\7626ce69af304bb5b24e978dd5eb8bef\mix_audio.wav,train\7626ce69af304bb5b24e978dd5eb8bef\first_speaker.wav,train\7626ce69af304bb5b24e978dd5eb8bef\second_speaker.wav,17.0
train\ce1d7c7aca374a1b9d61c12bbac1f6d5\mix_audio.wav,train\ce1d7c7aca374a1b9d61c12bbac1f6d5\first_speaker.wav,train\ce1d7c7aca374a1b9d61c12bbac1f6d5\second_speaker.wav,17.0
train\b55e3b6932424fddb056ac61a190ca8b\mix_audio.wav,train\b55e3b6932424fddb056ac61a190ca8b\first_speaker.wav,train\b55e3b6932424fddb056ac61a190ca8b\second_speaker.wav,18.0
train\f5b253eeb04b47daa9d314b434b02a1a\mix_audio.wav,train\f5b253eeb04b47daa9d314b434b02a1a\first_speaker.wav,train\f5b253eeb04b47daa9d314b434b02a1a\second_speaker.wav,20.0
train\227c5e726f5f4533a2400aa1920e5851\mix_audio.wav,train\227c5e726f5f4533a2400aa1920e5851\first_speaker.wav,train\227c5e726f5f4533a2400aa1920e5851\second_speaker.wav,20.0
train\20949a171a854168871cbf85ddcca953\mix_audio.wav,train\20949a171a854168871cbf85ddcca953\first_speaker.wav,train\20949a171a854168871cbf85ddcca953\second_speaker.wav,18.0
train\ceda4564132d488b9cf2d170e5c8c35b\mix_audio.wav,train\ceda4564132d488b9cf2d170e5c8c35b\first_speaker.wav,train\ceda4564132d488b9cf2d170e5c8c35b\second_speaker.wav,17.0
train\e1cd0087c5de4aeb974ab53c9850f56f\mix_audio.wav,train\e1cd0087c5de4aeb974ab53c9850f56f\first_speaker.wav,train\e1cd0087c5de4aeb974ab53c9850f56f\second_speaker.wav,19.0
train\bf4083a7f74140faa8ce96ca0dffe76e\mix_audio.wav,train\bf4083a7f74140faa8ce96ca0dffe76e\first_speaker.wav,train\bf4083a7f74140faa8ce96ca0dffe76e\second_speaker.wav,19.0
train\acb63840087e47d5b1b5246e448c8b47\mix_audio.wav,train\acb63840087e47d5b1b5246e448c8b47\first_speaker.wav,train\acb63840087e47d5b1b5246e448c8b47\second_speaker.wav,15.0
train\d3a68a10a0c346dc920db7fd6a0024e7\mix_audio.wav,train\d3a68a10a0c346dc920db7fd6a0024e7\first_speaker.wav,train\d3a68a10a0c346dc920db7fd6a0024e7\second_speaker.wav,15.0
train\69a73b2cb62d40d1a0fc00b1a12f3f7b\mix_audio.wav,train\69a73b2cb62d40d1a0fc00b1a12f3f7b\first_speaker.wav,train\69a73b2cb62d40d1a0fc00b1a12f3f7b\second_speaker.wav,17.0
train\f77b456bc16b4733bb0c92f433cf5b54\mix_audio.wav,train\f77b456bc16b4733bb0c92f433cf5b54\first_speaker.wav,train\f77b456bc16b4733bb0c92f433cf5b54\second_speaker.wav,19.0
train\5a6c7d9f9ab8488596f284327186802e\mix_audio.wav,train\5a6c7d9f9ab8488596f284327186802e\first_speaker.wav,train\5a6c7d9f9ab8488596f284327186802e\second_speaker.wav,18.0
train\93dbf7c769744d138e4ffd15921ba1ea\mix_audio.wav,train\93dbf7c769744d138e4ffd15921ba1ea\first_speaker.wav,train\93dbf7c769744d138e4ffd15921ba1ea\second_speaker.wav,17.0
train\477b8a5086cb4c1885361f3e12d3b846\mix_audio.wav,train\477b8a5086cb4c1885361f3e12d3b846\first_speaker.wav,train\477b8a5086cb4c1885361f3e12d3b846\second_speaker.wav,15.0
train\5415f95d3b7b479bb516322e91a926e9\mix_audio.wav,train\5415f95d3b7b479bb516322e91a926e9\first_speaker.wav,train\5415f95d3b7b479bb516322e91a926e9\second_speaker.wav,16.0
train\724b8bfe28434b94bf226704d59212d8\mix_audio.wav,train\724b8bfe28434b94bf226704d59212d8\first_speaker.wav,train\724b8bfe28434b94bf226704d59212d8\second_speaker.wav,18.0
train\9e75d0097d5d4095a070e747b4354790\mix_audio.wav,train\9e75d0097d5d4095a070e747b4354790\first_speaker.wav,train\9e75d0097d5d4095a070e747b4354790\second_speaker.wav,16.0
train\3433382dcd44443980530813ca4abdb1\mix_audio.wav,train\3433382dcd44443980530813ca4abdb1\first_speaker.wav,train\3433382dcd44443980530813ca4abdb1\second_speaker.wav,19.0
train\dfc0c3e19720404bbd158335461388f0\mix_audio.wav,train\dfc0c3e19720404bbd158335461388f0\first_speaker.wav,train\dfc0c3e19720404bbd158335461388f0\second_speaker.wav,16.0
train\ad547da659f34a32a01b642bfc23c8d3\mix_audio.wav,train\ad547da659f34a32a01b642bfc23c8d3\first_speaker.wav,train\ad547da659f34a32a01b642bfc23c8d3\second_speaker.wav,19.0
train\f55f553cc81845ed9ad6c38d73adeabd\mix_audio.wav,train\f55f553cc81845ed9ad6c38d73adeabd\first_speaker.wav,train\f55f553cc81845ed9ad6c38d73adeabd\second_speaker.wav,18.0
train\7ef4dcb8ee58473a8a85cc7f5461de82\mix_audio.wav,train\7ef4dcb8ee58473a8a85cc7f5461de82\first_speaker.wav,train\7ef4dcb8ee58473a8a85cc7f5461de82\second_speaker.wav,17.0
train\dcc0878eb95649bab799ea2e480c1188\mix_audio.wav,train\dcc0878eb95649bab799ea2e480c1188\first_speaker.wav,train\dcc0878eb95649bab799ea2e480c1188\second_speaker.wav,20.0
train\570ef7017c8042208b437cefee83a2fa\mix_audio.wav,train\570ef7017c8042208b437cefee83a2fa\first_speaker.wav,train\570ef7017c8042208b437cefee83a2fa\second_speaker.wav,15.0
train\c3884f22ae274af18dd0d305c9bde092\mix_audio.wav,train\c3884f22ae274af18dd0d305c9bde092\first_speaker.wav,train\c3884f22ae274af18dd0d305c9bde092\second_speaker.wav,15.0
train\5daea42510f6417e82e13d67fc0d5ef1\mix_audio.wav,train\5daea42510f6417e82e13d67fc0d5ef1\first_speaker.wav,train\5daea42510f6417e82e13d67fc0d5ef1\second_speaker.wav,18.0
train\db6150f6eb764425a7c0eae824c648d3\mix_audio.wav,train\db6150f6eb764425a7c0eae824c648d3\first_speaker.wav,train\db6150f6eb764425a7c0eae824c648d3\second_speaker.wav,16.0
train\315bcff9d97842448e2de4beca4c808b\mix_audio.wav,train\315bcff9d97842448e2de4beca4c808b\first_speaker.wav,train\315bcff9d97842448e2de4beca4c808b\second_speaker.wav,19.0
train\3d18b5f8a479434786ead55ee23afe2a\mix_audio.wav,train\3d18b5f8a479434786ead55ee23afe2a\first_speaker.wav,train\3d18b5f8a479434786ead55ee23afe2a\second_speaker.wav,15.0
train\22a30cf9a9c24ce2a767083b86d8ae8d\mix_audio.wav,train\22a30cf9a9c24ce2a767083b86d8ae8d\first_speaker.wav,train\22a30cf9a9c24ce2a767083b86d8ae8d\second_speaker.wav,17.0
train\0c628de5f30946d6bd84ba8f86de3fbd\mix_audio.wav,train\0c628de5f30946d6bd84ba8f86de3fbd\first_speaker.wav,train\0c628de5f30946d6bd84ba8f86de3fbd\second_speaker.wav,17.0
train\d1a1c26fac134c23a577e16cf47f26b8\mix_audio.wav,train\d1a1c26fac134c23a577e16cf47f26b8\first_speaker.wav,train\d1a1c26fac134c23a577e16cf47f26b8\second_speaker.wav,17.0
train\23836714ad6e4b3d8a23d433225ffab6\mix_audio.wav,train\23836714ad6e4b3d8a23d433225ffab6\first_speaker.wav,train\23836714ad6e4b3d8a23d433225ffab6\second_speaker.wav,18.0
train\4497752961e4451b8e318aba3cedd49e\mix_audio.wav,train\4497752961e4451b8e318aba3cedd49e\first_speaker.wav,train\4497752961e4451b8e318aba3cedd49e\second_speaker.wav,15.0
train\35d959dc5bd244af88c284d6d8f80537\mix_audio.wav,train\35d959dc5bd244af88c284d6d8f80537\first_speaker.wav,train\35d959dc5bd244af88c284d6d8f80537\second_speaker.wav,18.0
train\b94c8220f42c4d258900542ac0ccdd41\mix_audio.wav,train\b94c8220f42c4d258900542ac0ccdd41\first_speaker.wav,train\b94c8220f42c4d258900542ac0ccdd41\second_speaker.wav,20.0
train\e22c7fd56b7e46969881a0f5d0b80fcf\mix_audio.wav,train\e22c7fd56b7e46969881a0f5d0b80fcf\first_speaker.wav,train\e22c7fd56b7e46969881a0f5d0b80fcf\second_speaker.wav,18.0
train\a4e52b5f20b44d76901781e883a98867\mix_audio.wav,train\a4e52b5f20b44d76901781e883a98867\first_speaker.wav,train\a4e52b5f20b44d76901781e883a98867\second_speaker.wav,15.0
train\de326aedd11d4425bd2b86358c1c803f\mix_audio.wav,train\de326aedd11d4425bd2b86358c1c803f\first_speaker.wav,train\de326aedd11d4425bd2b86358c1c803f\second_speaker.wav,20.0
train\eb8fc09be0c946f5a36df5397d73b10f\mix_audio.wav,train\eb8fc09be0c946f5a36df5397d73b10f\first_speaker.wav,train\eb8fc09be0c946f5a36df5397d73b10f\second_speaker.wav,16.0
train\bd50207a39d44ad1840b122776da4db3\mix_audio.wav,train\bd50207a39d44ad1840b122776da4db3\first_speaker.wav,train\bd50207a39d44ad1840b122776da4db3\second_speaker.wav,16.0
train\5e40508856c248e193bd5543da6db7fc\mix_audio.wav,train\5e40508856c248e193bd5543da6db7fc\first_speaker.wav,train\5e40508856c248e193bd5543da6db7fc\second_speaker.wav,18.0
train\3bef8477a8014a75ad5dafb27da27270\mix_audio.wav,train\3bef8477a8014a75ad5dafb27da27270\first_speaker.wav,train\3bef8477a8014a75ad5dafb27da27270\second_speaker.wav,16.0
train\53145ff1249149269589787a2cab86ce\mix_audio.wav,train\53145ff1249149269589787a2cab86ce\first_speaker.wav,train\53145ff1249149269589787a2cab86ce\second_speaker.wav,20.0
train\a99792a8c4d24978aa04cd0fa96a0f52\mix_audio.wav,train\a99792a8c4d24978aa04cd0fa96a0f52\first_speaker.wav,train\a99792a8c4d24978aa04cd0fa96a0f52\second_speaker.wav,18.0
train\241fbe13365c4f8fb513d702aa5625c5\mix_audio.wav,train\241fbe13365c4f8fb513d702aa5625c5\first_speaker.wav,train\241fbe13365c4f8fb513d702aa5625c5\second_speaker.wav,18.0
train\65e02229e15b40d3987d64508cc0d2ab\mix_audio.wav,train\65e02229e15b40d3987d64508cc0d2ab\first_speaker.wav,train\65e02229e15b40d3987d64508cc0d2ab\second_speaker.wav,17.0
train\e5bea7a673144f4986089cd1847444db\mix_audio.wav,train\e5bea7a673144f4986089cd1847444db\first_speaker.wav,train\e5bea7a673144f4986089cd1847444db\second_speaker.wav,18.0
train\c73d91e22240463597f48e6d90757e7d\mix_audio.wav,train\c73d91e22240463597f48e6d90757e7d\first_speaker.wav,train\c73d91e22240463597f48e6d90757e7d\second_speaker.wav,15.0
train\ac6aba97001d4068ae28ba4d4105f7c1\mix_audio.wav,train\ac6aba97001d4068ae28ba4d4105f7c1\first_speaker.wav,train\ac6aba97001d4068ae28ba4d4105f7c1\second_speaker.wav,15.0
train\1820e0243ad34d6da4c2c408776e4fa5\mix_audio.wav,train\1820e0243ad34d6da4c2c408776e4fa5\first_speaker.wav,train\1820e0243ad34d6da4c2c408776e4fa5\second_speaker.wav,20.0
train\8c86f2e9db224078b8fb8d662305b426\mix_audio.wav,train\8c86f2e9db224078b8fb8d662305b426\first_speaker.wav,train\8c86f2e9db224078b8fb8d662305b426\second_speaker.wav,17.0
train\124aa93091ea4296ac2a10437264976b\mix_audio.wav,train\124aa93091ea4296ac2a10437264976b\first_speaker.wav,train\124aa93091ea4296ac2a10437264976b\second_speaker.wav,18.0
train\410097f0bd8447a0be25994b4af4f0b0\mix_audio.wav,train\410097f0bd8447a0be25994b4af4f0b0\first_speaker.wav,train\410097f0bd8447a0be25994b4af4f0b0\second_speaker.wav,16.0
train\053e26a68155417ca1babe0f62aa0195\mix_audio.wav,train\053e26a68155417ca1babe0f62aa0195\first_speaker.wav,train\053e26a68155417ca1babe0f62aa0195\second_speaker.wav,15.0
train\fce0a6c7caf047d1a6356347c34ee51d\mix_audio.wav,train\fce0a6c7caf047d1a6356347c34ee51d\first_speaker.wav,train\fce0a6c7caf047d1a6356347c34ee51d\second_speaker.wav,20.0
train\603e0b79cab0457c853e113836740f2a\mix_audio.wav,train\603e0b79cab0457c853e113836740f2a\first_speaker.wav,train\603e0b79cab0457c853e113836740f2a\second_speaker.wav,17.0
train\a794cd4cfe874f2987b0a6291dbede2a\mix_audio.wav,train\a794cd4cfe874f2987b0a6291dbede2a\first_speaker.wav,train\a794cd4cfe874f2987b0a6291dbede2a\second_speaker.wav,20.0
train\ed21056e9db94994a5f9bcc321b6b188\mix_audio.wav,train\ed21056e9db94994a5f9bcc321b6b188\first_speaker.wav,train\ed21056e9db94994a5f9bcc321b6b188\second_speaker.wav,15.0
train\81e2601e629544df832c2ef44776c45c\mix_audio.wav,train\81e2601e629544df832c2ef44776c45c\first_speaker.wav,train\81e2601e629544df832c2ef44776c45c\second_speaker.wav,19.0
train\5236a20df2af4ae5b755e232932f5915\mix_audio.wav,train\5236a20df2af4ae5b755e232932f5915\first_speaker.wav,train\5236a20df2af4ae5b755e232932f5915\second_speaker.wav,19.0
train\bf0108e79ba54d9ea3e0e349225d8825\mix_audio.wav,train\bf0108e79ba54d9ea3e0e349225d8825\first_speaker.wav,train\bf0108e79ba54d9ea3e0e349225d8825\second_speaker.wav,15.0
train\229d9957a6cc402cab9587ebcd0a9bd3\mix_audio.wav,train\229d9957a6cc402cab9587ebcd0a9bd3\first_speaker.wav,train\229d9957a6cc402cab9587ebcd0a9bd3\second_speaker.wav,18.0
train\28d0899679634695b1ef14732f5438e8\mix_audio.wav,train\28d0899679634695b1ef14732f5438e8\first_speaker.wav,train\28d0899679634695b1ef14732f5438e8\second_speaker.wav,16.0
train\351813d90d1745a6a635ccc563731f8b\mix_audio.wav,train\351813d90d1745a6a635ccc563731f8b\first_speaker.wav,train\351813d90d1745a6a635ccc563731f8b\second_speaker.wav,15.0
train\64d715c9efb648e9a6b9c0fd1dd08b80\mix_audio.wav,train\64d715c9efb648e9a6b9c0fd1dd08b80\first_speaker.wav,train\64d715c9efb648e9a6b9c0fd1dd08b80\second_speaker.wav,17.0
train\42f52de44688461082f5856391bc5a8d\mix_audio.wav,train\42f52de44688461082f5856391bc5a8d\first_speaker.wav,train\42f52de44688461082f5856391bc5a8d\second_speaker.wav,20.0
train\adb29aa0dfa54eee8b5094f0db13b08a\mix_audio.wav,train\adb29aa0dfa54eee8b5094f0db13b08a\first_speaker.wav,train\adb29aa0dfa54eee8b5094f0db13b08a\second_speaker.wav,20.0
train\85858af9d37c41428a686559d5992fbe\mix_audio.wav,train\85858af9d37c41428a686559d5992fbe\first_speaker.wav,train\85858af9d37c41428a686559d5992fbe\second_speaker.wav,15.0
train\befdae581b5146dfb572935b43ba0f55\mix_audio.wav,train\befdae581b5146dfb572935b43ba0f55\first_speaker.wav,train\befdae581b5146dfb572935b43ba0f55\second_speaker.wav,17.0
train\e375fc6172a641969f3dcf516cdc45de\mix_audio.wav,train\e375fc6172a641969f3dcf516cdc45de\first_speaker.wav,train\e375fc6172a641969f3dcf516cdc45de\second_speaker.wav,15.0
train\efd70ad4fd9044628557aa9efbf99aa2\mix_audio.wav,train\efd70ad4fd9044628557aa9efbf99aa2\first_speaker.wav,train\efd70ad4fd9044628557aa9efbf99aa2\second_speaker.wav,16.0
train\cf523e91d6c44ee99070206d7b6a2fe6\mix_audio.wav,train\cf523e91d6c44ee99070206d7b6a2fe6\first_speaker.wav,train\cf523e91d6c44ee99070206d7b6a2fe6\second_speaker.wav,16.0
train\b7256cd6aa494e3592e3202801d5c14c\mix_audio.wav,train\b7256cd6aa494e3592e3202801d5c14c\first_speaker.wav,train\b7256cd6aa494e3592e3202801d5c14c\second_speaker.wav,20.0
train\d04041aff29d4b8fa1bbba0d24746c5c\mix_audio.wav,train\d04041aff29d4b8fa1bbba0d24746c5c\first_speaker.wav,train\d04041aff29d4b8fa1bbba0d24746c5c\second_speaker.wav,17.0
train\6dcc0d1c0f214782939169c24df230a8\mix_audio.wav,train\6dcc0d1c0f214782939169c24df230a8\first_speaker.wav,train\6dcc0d1c0f214782939169c24df230a8\second_speaker.wav,18.0
train\2ab07461f79e44458d142bc584ebd302\mix_audio.wav,train\2ab07461f79e44458d142bc584ebd302\first_speaker.wav,train\2ab07461f79e44458d142bc584ebd302\second_speaker.wav,19.0
train\d3f442126422483b92b5e302978a0c94\mix_audio.wav,train\d3f442126422483b92b5e302978a0c94\first_speaker.wav,train\d3f442126422483b92b5e302978a0c94\second_speaker.wav,16.0
train\7b1b997e937d4a2dac876451e31fed73\mix_audio.wav,train\7b1b997e937d4a2dac876451e31fed73\first_speaker.wav,train\7b1b997e937d4a2dac876451e31fed73\second_speaker.wav,18.0
train\02f4bcba1e4e45b3b9183ed45ee9f3e3\mix_audio.wav,train\02f4bcba1e4e45b3b9183ed45ee9f3e3\first_speaker.wav,train\02f4bcba1e4e45b3b9183ed45ee9f3e3\second_speaker.wav,19.0
train\db7d433f541447fc95467b26f653e78e\mix_audio.wav,train\db7d433f541447fc95467b26f653e78e\first_speaker.wav,train\db7d433f541447fc95467b26f653e78e\second_speaker.wav,19.0
train\9c56cc4f0e684a72a5210ab9faf14308\mix_audio.wav,train\9c56cc4f0e684a72a5210ab9faf14308\first_speaker.wav,train\9c56cc4f0e684a72a5210ab9faf14308\second_speaker.wav,18.0
train\2e3a2f1ac67746c48585a1e74b155896\mix_audio.wav,train\2e3a2f1ac67746c48585a1e74b155896\first_speaker.wav,train\2e3a2f1ac67746c48585a1e74b155896\second_speaker.wav,20.0
train\af01b79828554be688fcdc9332a47e1c\mix_audio.wav,train\af01b79828554be688fcdc9332a47e1c\first_speaker.wav,train\af01b79828554be688fcdc9332a47e1c\second_speaker.wav,19.0
train\0057a22e61374bcfb25081d56875cb40\mix_audio.wav,train\0057a22e61374bcfb25081d56875cb40\first_speaker.wav,train\0057a22e61374bcfb25081d56875cb40\second_speaker.wav,17.0
train\8bd93c5650194a2ca925ac8165bc3703\mix_audio.wav,train\8bd93c5650194a2ca925ac8165bc3703\first_speaker.wav,train\8bd93c5650194a2ca925ac8165bc3703\second_speaker.wav,17.0
train\960b7832483346d1841c6225d1e2239c\mix_audio.wav,train\960b7832483346d1841c6225d1e2239c\first_speaker.wav,train\960b7832483346d1841c6225d1e2239c\second_speaker.wav,16.0
train\45df016798c447328076dd6e1773ab40\mix_audio.wav,train\45df016798c447328076dd6e1773ab40\first_speaker.wav,train\45df016798c447328076dd6e1773ab40\second_speaker.wav,18.0
train\2c9d7e23d69c4083b6447afc929d5c8e\mix_audio.wav,train\2c9d7e23d69c4083b6447afc929d5c8e\first_speaker.wav,train\2c9d7e23d69c4083b6447afc929d5c8e\second_speaker.wav,18.0
train\60d1a7f1f0214a00931b4d707a621322\mix_audio.wav,train\60d1a7f1f0214a00931b4d707a621322\first_speaker.wav,train\60d1a7f1f0214a00931b4d707a621322\second_speaker.wav,18.0
train\45a6645d6e794ab3bed4fc96ec4c8e86\mix_audio.wav,train\45a6645d6e794ab3bed4fc96ec4c8e86\first_speaker.wav,train\45a6645d6e794ab3bed4fc96ec4c8e86\second_speaker.wav,15.0
